RegionsCode,Regions,MethodCode,Method used to travel to workplace,AgeCode,AgeRange,Observation
E12000003,Yorkshire and The Humber,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,4639
E12000003,Yorkshire and The Humber,3,Driving a car or van,1,Aged 16 to 24 years,130510
E12000003,Yorkshire and The Humber,3,Driving a car or van,2,Aged 25 to 34 years,297941
E12000003,Yorkshire and The Humber,3,Driving a car or van,3,Aged 35 to 49 years,570919
E12000003,Yorkshire and The Humber,3,Driving a car or van,4,Aged 50 to 64 years,381902
E12000003,Yorkshire and The Humber,3,Driving a car or van,5,Aged 65 years and over,31072
E12000003,Yorkshire and The Humber,4,Bicycle,1,Aged 16 to 24 years,8228
E12000003,Yorkshire and The Humber,4,Bicycle,2,Aged 25 to 34 years,13347
E12000003,Yorkshire and The Humber,4,Bicycle,3,Aged 35 to 49 years,24300
E12000003,Yorkshire and The Humber,4,Bicycle,4,Aged 50 to 64 years,13617
E12000003,Yorkshire and The Humber,4,Bicycle,5,Aged 65 years and over,835
E12000003,Yorkshire and The Humber,5,On foot,1,Aged 16 to 24 years,60936
E12000003,Yorkshire and The Humber,5,On foot,2,Aged 25 to 34 years,59420
E12000003,Yorkshire and The Humber,5,On foot,3,Aged 35 to 49 years,79430
E12000003,Yorkshire and The Humber,5,On foot,4,Aged 50 to 64 years,56791
E12000003,Yorkshire and The Humber,5,On foot,5,Aged 65 years and over,5329
E12000003,Yorkshire and The Humber,6,All other methods of travel,1,Aged 16 to 24 years,51523
E12000003,Yorkshire and The Humber,6,All other methods of travel,2,Aged 25 to 34 years,42868
E12000003,Yorkshire and The Humber,6,All other methods of travel,3,Aged 35 to 49 years,52664
E12000003,Yorkshire and The Humber,6,All other methods of travel,4,Aged 50 to 64 years,40854
E12000003,Yorkshire and The Humber,6,All other methods of travel,5,Aged 65 years and over,3878
E12000004,East Midlands,1,Work mainly at or from home,1,Aged 16 to 24 years,10830
E12000004,East Midlands,1,Work mainly at or from home,2,Aged 25 to 34 years,28016
E12000004,East Midlands,1,Work mainly at or from home,3,Aged 35 to 49 years,84486
E12000004,East Midlands,1,Work mainly at or from home,4,Aged 50 to 64 years,76595
E12000004,East Midlands,1,Work mainly at or from home,5,Aged 65 years and over,15846
E12000004,East Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",1,Aged 16 to 24 years,37427
E12000004,East Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",2,Aged 25 to 34 years,35589
E12000004,East Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",3,Aged 35 to 49 years,41315
E12000004,East Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",4,Aged 50 to 64 years,31945
E12000004,East Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,3184
E12000004,East Midlands,3,Driving a car or van,1,Aged 16 to 24 years,118756
E12000004,East Midlands,3,Driving a car or van,2,Aged 25 to 34 years,261243
E12000004,East Midlands,3,Driving a car or van,3,Aged 35 to 49 years,509601
E12000004,East Midlands,3,Driving a car or van,4,Aged 50 to 64 years,347725
E12000004,East Midlands,3,Driving a car or van,5,Aged 65 years and over,30503
E12000004,East Midlands,4,Bicycle,1,Aged 16 to 24 years,8141
E12000004,East Midlands,4,Bicycle,2,Aged 25 to 34 years,12557
E12000004,East Midlands,4,Bicycle,3,Aged 35 to 49 years,22158
E12000004,East Midlands,4,Bicycle,4,Aged 50 to 64 years,13181
E12000004,East Midlands,4,Bicycle,5,Aged 65 years and over,932
E12000004,East Midlands,5,On foot,1,Aged 16 to 24 years,50296
E12000004,East Midlands,5,On foot,2,Aged 25 to 34 years,45216
E12000004,East Midlands,5,On foot,3,Aged 35 to 49 years,64449
E12000004,East Midlands,5,On foot,4,Aged 50 to 64 years,48276
E12000004,East Midlands,5,On foot,5,Aged 65 years and over,4744
E12000004,East Midlands,6,All other methods of travel,1,Aged 16 to 24 years,43801
E12000004,East Midlands,6,All other methods of travel,2,Aged 25 to 34 years,34070
E12000004,East Midlands,6,All other methods of travel,3,Aged 35 to 49 years,40648
E12000004,East Midlands,6,All other methods of travel,4,Aged 50 to 64 years,32597
E12000004,East Midlands,6,All other methods of travel,5,Aged 65 years and over,3519
E12000005,West Midlands,1,Work mainly at or from home,1,Aged 16 to 24 years,13385
E12000005,West Midlands,1,Work mainly at or from home,2,Aged 25 to 34 years,33544
E12000005,West Midlands,1,Work mainly at or from home,3,Aged 35 to 49 years,94400
E12000005,West Midlands,1,Work mainly at or from home,4,Aged 50 to 64 years,85253
E12000005,West Midlands,1,Work mainly at or from home,5,Aged 65 years and over,19428
E12000005,West Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",1,Aged 16 to 24 years,58620
E12000005,West Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",2,Aged 25 to 34 years,65877
E12000005,West Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",3,Aged 35 to 49 years,74730
E12000005,West Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",4,Aged 50 to 64 years,50800
E12000005,West Midlands,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,5045
E12000005,West Midlands,3,Driving a car or van,1,Aged 16 to 24 years,142520
E12000005,West Midlands,3,Driving a car or van,2,Aged 25 to 34 years,325883
E12000005,West Midlands,3,Driving a car or van,3,Aged 35 to 49 years,625032
E12000005,West Midlands,3,Driving a car or van,4,Aged 50 to 64 years,418360
E12000005,West Midlands,3,Driving a car or van,5,Aged 65 years and over,41059
E12000005,West Midlands,4,Bicycle,1,Aged 16 to 24 years,6705
E12000005,West Midlands,4,Bicycle,2,Aged 25 to 34 years,11330
E12000005,West Midlands,4,Bicycle,3,Aged 35 to 49 years,19590
E12000005,West Midlands,4,Bicycle,4,Aged 50 to 64 years,10664
E12000005,West Midlands,4,Bicycle,5,Aged 65 years and over,819
E12000005,West Midlands,5,On foot,1,Aged 16 to 24 years,50907
