Regions Code,Regions,Social Grade,Population
E12000001,North East,AB Higher and intermediate managerial/administrative/professional occupations,369304
E12000001,North East,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",654235
E12000001,North East,C2 Skilled manual occupations,445060
E12000001,North East,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,550633
E12000002,North West,AB Higher and intermediate managerial/administrative/professional occupations,1187475
E12000002,North West,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1915988
E12000002,North West,C2 Skilled manual occupations,1223828
E12000002,North West,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,1475402
E12000003,Yorkshire and The Humber,AB Higher and intermediate managerial/administrative/professional occupations,830291
E12000003,Yorkshire and The Humber,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1365270
E12000003,Yorkshire and The Humber,C2 Skilled manual occupations,975876
E12000003,Yorkshire and The Humber,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,1103613
E12000004,East Midlands,AB Higher and intermediate managerial/administrative/professional occupations,765514
E12000004,East Midlands,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1249096
E12000004,East Midlands,C2 Skilled manual occupations,880851
E12000004,East Midlands,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,878938
E12000005,West Midlands,AB Higher and intermediate managerial/administrative/professional occupations,909055
E12000005,West Midlands,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1470414
E12000005,West Midlands,C2 Skilled manual occupations,1043146
E12000005,West Midlands,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,1235512
E12000006,East,AB Higher and intermediate managerial/administrative/professional occupations,1197083
E12000006,East,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1674367
E12000006,East,C2 Skilled manual occupations,1093886
E12000006,East,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,955809
E12000007,London,AB Higher and intermediate managerial/administrative/professional occupations,2131844
E12000007,London,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",2317386
E12000007,London,C2 Skilled manual occupations,1315179
E12000007,London,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,1740845
E12000008,South East,AB Higher and intermediate managerial/administrative/professional occupations,2024980
E12000008,South East,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",2451547
E12000008,South East,C2 Skilled manual occupations,1457917
E12000008,South East,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,1249887
E12000009,South West,AB Higher and intermediate managerial/administrative/professional occupations,1005675
E12000009,South West,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1437645
E12000009,South West,C2 Skilled manual occupations,1000963
E12000009,South West,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,801425
W92000004,Wales,AB Higher and intermediate managerial/administrative/professional occupations,458206
W92000004,Wales,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",770370
W92000004,Wales,C2 Skilled manual occupations,537219
W92000004,Wales,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,574643
