Regions Code,Regions,Method Code,Method used to travel to workplace,Age Code,Age Range,Observation
W92000004,Wales,1,Work mainly at or from home,1,Aged 16 to 24 years,20549
W92000004,Wales,1,Work mainly at or from home,2,Aged 25 to 34 years,72180
W92000004,Wales,1,Work mainly at or from home,3,Aged 35 to 49 years,124152
W92000004,Wales,1,Work mainly at or from home,4,Aged 50 to 64 years,109640
W92000004,Wales,1,Work mainly at or from home,5,Aged 65 years and over,23949
W92000004,Wales,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,8582
W92000004,Wales,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,10668
W92000004,Wales,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",3,Aged 35 to 49 years,10875
W92000004,Wales,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",4,Aged 50 to 64 years,11174
W92000004,Wales,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",5,Aged 65 years and over,2305
W92000004,Wales,3,Taxi,1,Aged 16 to 24 years,1216
W92000004,Wales,3,Taxi,2,Aged 25 to 34 years,1751
W92000004,Wales,3,Taxi,3,Aged 35 to 49 years,2004
W92000004,Wales,3,Taxi,4,Aged 50 to 64 years,2189
W92000004,Wales,3,Taxi,5,Aged 65 years and over,446
W92000004,Wales,4,"Motorcycle, scooter or moped",1,Aged 16 to 24 years,809
W92000004,Wales,4,"Motorcycle, scooter or moped",2,Aged 25 to 34 years,1040
W92000004,Wales,4,"Motorcycle, scooter or moped",3,Aged 35 to 49 years,1239
W92000004,Wales,4,"Motorcycle, scooter or moped",4,Aged 50 to 64 years,1431
W92000004,Wales,4,"Motorcycle, scooter or moped",5,Aged 65 years and over,123
W92000004,Wales,5,Driving a car or van,1,Aged 16 to 24 years,90161
W92000004,Wales,5,Driving a car or van,2,Aged 25 to 34 years,183054
W92000004,Wales,5,Driving a car or van,3,Aged 35 to 49 years,264782
W92000004,Wales,5,Driving a car or van,4,Aged 50 to 64 years,265915
W92000004,Wales,5,Driving a car or van,5,Aged 65 years and over,34757
W92000004,Wales,6,Bicycle,1,Aged 16 to 24 years,2174
W92000004,Wales,6,Bicycle,2,Aged 25 to 34 years,3598
W92000004,Wales,6,Bicycle,3,Aged 35 to 49 years,4845
W92000004,Wales,6,Bicycle,4,Aged 50 to 64 years,4052
W92000004,Wales,6,Bicycle,5,Aged 65 years and over,412
W92000004,Wales,7,On foot,1,Aged 16 to 24 years,17913
W92000004,Wales,7,On foot,2,Aged 25 to 34 years,21836
W92000004,Wales,7,On foot,3,Aged 35 to 49 years,25555
W92000004,Wales,7,On foot,4,Aged 50 to 64 years,26677
W92000004,Wales,7,On foot,5,Aged 65 years and over,4695
W92000004,Wales,8,Other method of travel to work,1,Aged 16 to 24 years,1731
W92000004,Wales,8,Other method of travel to work,2,Aged 25 to 34 years,2398
W92000004,Wales,8,Other method of travel to work,3,Aged 35 to 49 years,3289
W92000004,Wales,8,Other method of travel to work,4,Aged 50 to 64 years,3354
W92000004,Wales,8,Other method of travel to work,5,Aged 65 years and over,932
