Regions Code,Regions,Method Code,Method used to travel to workplace,Age Code,Age Range,Observation
E12000002,North West,7,On foot,5,Aged 65 years and over,9703
E12000002,North West,8,Other method of travel to work,1,Aged 16 to 24 years,4818
E12000002,North West,8,Other method of travel to work,2,Aged 25 to 34 years,7393
E12000002,North West,8,Other method of travel to work,3,Aged 35 to 49 years,10511
E12000002,North West,8,Other method of travel to work,4,Aged 50 to 64 years,9765
E12000002,North West,8,Other method of travel to work,5,Aged 65 years and over,2121
E12000003,Yorkshire and The Humber,1,Work mainly at or from home,1,Aged 16 to 24 years,44386
E12000003,Yorkshire and The Humber,1,Work mainly at or from home,2,Aged 25 to 34 years,143363
E12000003,Yorkshire and The Humber,1,Work mainly at or from home,3,Aged 35 to 49 years,232428
E12000003,Yorkshire and The Humber,1,Work mainly at or from home,4,Aged 50 to 64 years,187125
E12000003,Yorkshire and The Humber,1,Work mainly at or from home,5,Aged 65 years and over,30068
E12000003,Yorkshire and The Humber,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,29557
E12000003,Yorkshire and The Humber,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,33781
E12000003,Yorkshire and The Humber,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",3,Aged 35 to 49 years,34351
E12000003,Yorkshire and The Humber,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",4,Aged 50 to 64 years,32439
E12000003,Yorkshire and The Humber,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",5,Aged 65 years and over,4547
E12000003,Yorkshire and The Humber,3,Taxi,1,Aged 16 to 24 years,6244
E12000003,Yorkshire and The Humber,3,Taxi,2,Aged 25 to 34 years,7689
E12000003,Yorkshire and The Humber,3,Taxi,3,Aged 35 to 49 years,7474
E12000003,Yorkshire and The Humber,3,Taxi,4,Aged 50 to 64 years,5835
E12000003,Yorkshire and The Humber,3,Taxi,5,Aged 65 years and over,785
E12000003,Yorkshire and The Humber,4,"Motorcycle, scooter or moped",1,Aged 16 to 24 years,1726
E12000003,Yorkshire and The Humber,4,"Motorcycle, scooter or moped",2,Aged 25 to 34 years,1776
E12000003,Yorkshire and The Humber,4,"Motorcycle, scooter or moped",3,Aged 35 to 49 years,2239
E12000003,Yorkshire and The Humber,4,"Motorcycle, scooter or moped",4,Aged 50 to 64 years,2789
E12000003,Yorkshire and The Humber,4,"Motorcycle, scooter or moped",5,Aged 65 years and over,248
E12000003,Yorkshire and The Humber,5,Driving a car or van,1,Aged 16 to 24 years,143380
E12000003,Yorkshire and The Humber,5,Driving a car or van,2,Aged 25 to 34 years,306755
E12000003,Yorkshire and The Humber,5,Driving a car or van,3,Aged 35 to 49 years,445580
E12000003,Yorkshire and The Humber,5,Driving a car or van,4,Aged 50 to 64 years,430706
E12000003,Yorkshire and The Humber,5,Driving a car or van,5,Aged 65 years and over,49020
E12000003,Yorkshire and The Humber,6,Bicycle,1,Aged 16 to 24 years,6476
E12000003,Yorkshire and The Humber,6,Bicycle,2,Aged 25 to 34 years,10728
E12000003,Yorkshire and The Humber,6,Bicycle,3,Aged 35 to 49 years,15265
E12000003,Yorkshire and The Humber,6,Bicycle,4,Aged 50 to 64 years,14068
E12000003,Yorkshire and The Humber,6,Bicycle,5,Aged 65 years and over,1223
E12000003,Yorkshire and The Humber,7,On foot,1,Aged 16 to 24 years,37686
E12000003,Yorkshire and The Humber,7,On foot,2,Aged 25 to 34 years,47285
E12000003,Yorkshire and The Humber,7,On foot,3,Aged 35 to 49 years,56867
E12000003,Yorkshire and The Humber,7,On foot,4,Aged 50 to 64 years,55787
E12000003,Yorkshire and The Humber,7,On foot,5,Aged 65 years and over,7018
E12000003,Yorkshire and The Humber,8,Other method of travel to work,1,Aged 16 to 24 years,3818
E12000003,Yorkshire and The Humber,8,Other method of travel to work,2,Aged 25 to 34 years,5196
E12000003,Yorkshire and The Humber,8,Other method of travel to work,3,Aged 35 to 49 years,7525
E12000003,Yorkshire and The Humber,8,Other method of travel to work,4,Aged 50 to 64 years,6762
E12000003,Yorkshire and The Humber,8,Other method of travel to work,5,Aged 65 years and over,1375
E12000004,East Midlands,1,Work mainly at or from home,1,Aged 16 to 24 years,36520
E12000004,East Midlands,1,Work mainly at or from home,2,Aged 25 to 34 years,122422
E12000004,East Midlands,1,Work mainly at or from home,3,Aged 35 to 49 years,213092
E12000004,East Midlands,1,Work mainly at or from home,4,Aged 50 to 64 years,183185
E12000004,East Midlands,1,Work mainly at or from home,5,Aged 65 years and over,30804
E12000004,East Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,19429
E12000004,East Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,22539
E12000004,East Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",3,Aged 35 to 49 years,23899
E12000004,East Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",4,Aged 50 to 64 years,20759
E12000004,East Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",5,Aged 65 years and over,3015
E12000004,East Midlands,3,Taxi,1,Aged 16 to 24 years,3365
E12000004,East Midlands,3,Taxi,2,Aged 25 to 34 years,4074
E12000004,East Midlands,3,Taxi,3,Aged 35 to 49 years,4149
E12000004,East Midlands,3,Taxi,4,Aged 50 to 64 years,3462
E12000004,East Midlands,3,Taxi,5,Aged 65 years and over,557
E12000004,East Midlands,4,"Motorcycle, scooter or moped",1,Aged 16 to 24 years,1901
E12000004,East Midlands,4,"Motorcycle, scooter or moped",2,Aged 25 to 34 years,2023
E12000004,East Midlands,4,"Motorcycle, scooter or moped",3,Aged 35 to 49 years,2229
E12000004,East Midlands,4,"Motorcycle, scooter or moped",4,Aged 50 to 64 years,2557
E12000004,East Midlands,4,"Motorcycle, scooter or moped",5,Aged 65 years and over,222
E12000004,East Midlands,5,Driving a car or van,1,Aged 16 to 24 years,140750
E12000004,East Midlands,5,Driving a car or van,2,Aged 25 to 34 years,291886
E12000004,East Midlands,5,Driving a car or van,3,Aged 35 to 49 years,430919
E12000004,East Midlands,5,Driving a car or van,4,Aged 50 to 64 years,410951
E12000004,East Midlands,5,Driving a car or van,5,Aged 65 years and over,48706
E12000004,East Midlands,6,Bicycle,1,Aged 16 to 24 years,6243
E12000004,East Midlands,6,Bicycle,2,Aged 25 to 34 years,9888
E12000004,East Midlands,6,Bicycle,3,Aged 35 to 49 years,14493
E12000004,East Midlands,6,Bicycle,4,Aged 50 to 64 years,12856
E12000004,East Midlands,6,Bicycle,5,Aged 65 years and over,1236
E12000004,East Midlands,7,On foot,1,Aged 16 to 24 years,34858
E12000004,East Midlands,7,On foot,2,Aged 25 to 34 years,41463
E12000004,East Midlands,7,On foot,3,Aged 35 to 49 years,51148
E12000004,East Midlands,7,On foot,4,Aged 50 to 64 years,48469
E12000004,East Midlands,7,On foot,5,Aged 65 years and over,6687
E12000004,East Midlands,8,Other method of travel to work,1,Aged 16 to 24 years,3272
E12000004,East Midlands,8,Other method of travel to work,2,Aged 25 to 34 years,4709
E12000004,East Midlands,8,Other method of travel to work,3,Aged 35 to 49 years,6319
E12000004,East Midlands,8,Other method of travel to work,4,Aged 50 to 64 years,5937
E12000004,East Midlands,8,Other method of travel to work,5,Aged 65 years and over,1329
E12000005,West Midlands,1,Work mainly at or from home,1,Aged 16 to 24 years,45895
E12000005,West Midlands,1,Work mainly at or from home,2,Aged 25 to 34 years,148639
E12000005,West Midlands,1,Work mainly at or from home,3,Aged 35 to 49 years,243438
E12000005,West Midlands,1,Work mainly at or from home,4,Aged 50 to 64 years,202341
E12000005,West Midlands,1,Work mainly at or from home,5,Aged 65 years and over,36623
E12000005,West Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,28693
E12000005,West Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,35799
E12000005,West Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",3,Aged 35 to 49 years,39833
E12000005,West Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",4,Aged 50 to 64 years,34044
E12000005,West Midlands,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",5,Aged 65 years and over,5039
E12000005,West Midlands,3,Taxi,1,Aged 16 to 24 years,7152
E12000005,West Midlands,3,Taxi,2,Aged 25 to 34 years,8410
E12000005,West Midlands,3,Taxi,3,Aged 35 to 49 years,7787
E12000005,West Midlands,3,Taxi,4,Aged 50 to 64 years,5742
E12000005,West Midlands,3,Taxi,5,Aged 65 years and over,841
E12000005,West Midlands,4,"Motorcycle, scooter or moped",1,Aged 16 to 24 years,1745
E12000005,West Midlands,4,"Motorcycle, scooter or moped",2,Aged 25 to 34 years,2129
E12000005,West Midlands,4,"Motorcycle, scooter or moped",3,Aged 35 to 49 years,2345
E12000005,West Midlands,4,"Motorcycle, scooter or moped",4,Aged 50 to 64 years,2630
E12000005,West Midlands,4,"Motorcycle, scooter or moped",5,Aged 65 years and over,244
E12000005,West Midlands,5,Driving a car or van,1,Aged 16 to 24 years,156228
E12000005,West Midlands,5,Driving a car or van,2,Aged 25 to 34 years,339245
E12000005,West Midlands,5,Driving a car or van,3,Aged 35 to 49 years,501560
E12000005,West Midlands,5,Driving a car or van,4,Aged 50 to 64 years,473162
E12000005,West Midlands,5,Driving a car or van,5,Aged 65 years and over,59721
E12000005,West Midlands,6,Bicycle,1,Aged 16 to 24 years,5314
E12000005,West Midlands,6,Bicycle,2,Aged 25 to 34 years,8475
E12000005,West Midlands,6,Bicycle,3,Aged 35 to 49 years,12582
E12000005,West Midlands,6,Bicycle,4,Aged 50 to 64 years,10971
E12000005,West Midlands,6,Bicycle,5,Aged 65 years and over,1094
E12000005,West Midlands,7,On foot,1,Aged 16 to 24 years,32610
E12000005,West Midlands,7,On foot,2,Aged 25 to 34 years,42503
E12000005,West Midlands,7,On foot,3,Aged 35 to 49 years,53172
E12000005,West Midlands,7,On foot,4,Aged 50 to 64 years,50228
E12000005,West Midlands,7,On foot,5,Aged 65 years and over,7400
E12000005,West Midlands,8,Other method of travel to work,1,Aged 16 to 24 years,3763
E12000005,West Midlands,8,Other method of travel to work,2,Aged 25 to 34 years,5585
E12000005,West Midlands,8,Other method of travel to work,3,Aged 35 to 49 years,7719
E12000005,West Midlands,8,Other method of travel to work,4,Aged 50 to 64 years,6624
E12000005,West Midlands,8,Other method of travel to work,5,Aged 65 years and over,1565
E12000006,East,1,Work mainly at or from home,1,Aged 16 to 24 years,58907
E12000006,East,1,Work mainly at or from home,2,Aged 25 to 34 years,203578
E12000006,East,1,Work mainly at or from home,3,Aged 35 to 49 years,362413
E12000006,East,1,Work mainly at or from home,4,Aged 50 to 64 years,288169
E12000006,East,1,Work mainly at or from home,5,Aged 65 years and over,53420
E12000006,East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,24797
E12000006,East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,40069
E12000006,East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",3,Aged 35 to 49 years,48622
E12000006,East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",4,Aged 50 to 64 years,32177
E12000006,East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",5,Aged 65 years and over,4587
E12000006,East,3,Taxi,1,Aged 16 to 24 years,3293
E12000006,East,3,Taxi,2,Aged 25 to 34 years,4078
E12000006,East,3,Taxi,3,Aged 35 to 49 years,4530
E12000006,East,3,Taxi,4,Aged 50 to 64 years,4152
E12000006,East,3,Taxi,5,Aged 65 years and over,883
E12000006,East,4,"Motorcycle, scooter or moped",1,Aged 16 to 24 years,2894
E12000006,East,4,"Motorcycle, scooter or moped",2,Aged 25 to 34 years,3067
E12000006,East,4,"Motorcycle, scooter or moped",3,Aged 35 to 49 years,3645
E12000006,East,4,"Motorcycle, scooter or moped",4,Aged 50 to 64 years,3683
E12000006,East,4,"Motorcycle, scooter or moped",5,Aged 65 years and over,343
E12000006,East,5,Driving a car or van,1,Aged 16 to 24 years,164770
E12000006,East,5,Driving a car or van,2,Aged 25 to 34 years,336541
E12000006,East,5,Driving a car or van,3,Aged 35 to 49 years,509897
E12000006,East,5,Driving a car or van,4,Aged 50 to 64 years,481764
E12000006,East,5,Driving a car or van,5,Aged 65 years and over,66845
E12000006,East,6,Bicycle,1,Aged 16 to 24 years,10262
E12000006,East,6,Bicycle,2,Aged 25 to 34 years,16628
E12000006,East,6,Bicycle,3,Aged 35 to 49 years,22673
E12000006,East,6,Bicycle,4,Aged 50 to 64 years,18909
E12000006,East,6,Bicycle,5,Aged 65 years and over,2385
E12000006,East,7,On foot,1,Aged 16 to 24 years,40404
E12000006,East,7,On foot,2,Aged 25 to 34 years,51880
E12000006,East,7,On foot,3,Aged 35 to 49 years,64010
E12000006,East,7,On foot,4,Aged 50 to 64 years,55121
E12000006,East,7,On foot,5,Aged 65 years and over,8311
E12000006,East,8,Other method of travel to work,1,Aged 16 to 24 years,4288
E12000006,East,8,Other method of travel to work,2,Aged 25 to 34 years,6363
E12000006,East,8,Other method of travel to work,3,Aged 35 to 49 years,9167
E12000006,East,8,Other method of travel to work,4,Aged 50 to 64 years,9008
E12000006,East,8,Other method of travel to work,5,Aged 65 years and over,2110
E12000007,London,1,Work mainly at or from home,1,Aged 16 to 24 years,123497
E12000007,London,1,Work mainly at or from home,2,Aged 25 to 34 years,618541
E12000007,London,1,Work mainly at or from home,3,Aged 35 to 49 years,675349
E12000007,London,1,Work mainly at or from home,4,Aged 50 to 64 years,356887
E12000007,London,1,Work mainly at or from home,5,Aged 65 years and over,62547
E12000007,London,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,133287
E12000007,London,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,306316
E12000007,London,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",3,Aged 35 to 49 years,351467
E12000007,London,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",4,Aged 50 to 64 years,228462
E12000007,London,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",5,Aged 65 years and over,29453
E12000007,London,3,Taxi,1,Aged 16 to 24 years,2146
E12000007,London,3,Taxi,2,Aged 25 to 34 years,5690
E12000007,London,3,Taxi,3,Aged 35 to 49 years,7302
E12000007,London,3,Taxi,4,Aged 50 to 64 years,6132
E12000007,London,3,Taxi,5,Aged 65 years and over,1273
E12000007,London,4,"Motorcycle, scooter or moped",1,Aged 16 to 24 years,2964
E12000007,London,4,"Motorcycle, scooter or moped",2,Aged 25 to 34 years,8771
E12000007,London,4,"Motorcycle, scooter or moped",3,Aged 35 to 49 years,12087
E12000007,London,4,"Motorcycle, scooter or moped",4,Aged 50 to 64 years,6165
E12000007,London,4,"Motorcycle, scooter or moped",5,Aged 65 years and over,417
E12000007,London,5,Driving a car or van,1,Aged 16 to 24 years,68300
E12000007,London,5,Driving a car or van,2,Aged 25 to 34 years,205599
E12000007,London,5,Driving a car or van,3,Aged 35 to 49 years,351662
E12000007,London,5,Driving a car or van,4,Aged 50 to 64 years,294434
